Date,Discharge
2017-01-01,1084.6245
2017-01-02,1064.1979
2017-01-03,1042.4802
2017-01-04,1022.8103
2017-01-05,1008.70874
2017-01-06,994.152
2017-01-07,985.0953
2017-01-08,971.5857
2017-01-09,959.77783
2017-01-10,946.8592
2017-01-11,936.0705
2017-01-12,930.83044
2017-01-13,925.0113
2017-01-14,924.46484
2017-01-15,919.13794
2017-01-16,915.0901
2017-01-17,909.4211
2017-01-18,905.2935
2017-01-19,906.0586
2017-01-20,905.5337
2017-01-21,909.5285
2017-01-22,907.96204
2017-01-23,906.88007
2017-01-24,903.3831
2017-01-25,900.6481
2017-01-26,902.05365
2017-01-27,901.4574
2017-01-28,904.72003
2017-01-29,901.82135
2017-01-30,898.87604
2017-01-31,893.06006
2017-02-01,887.6302
2017-02-02,886.0484
2017-02-03,882.2557
2017-02-04,882.19617
2017-02-05,875.9304
2017-02-06,869.6498
2017-02-07,860.6017
2017-02-08,852.1079
2017-02-09,847.6876
2017-02-10,841.33105
2017-02-11,839.0222
2017-02-12,830.85297
2017-02-13,823.0363
2017-02-14,812.83234
2017-02-15,803.5666
2017-02-16,798.7538
2017-02-17,792.37213
2017-02-18,790.38684
2017-02-19,782.8648
2017-02-20,775.9897
2017-02-21,766.98773
2017-02-22,759.14856
2017-02-23,755.9486
2017-02-24,751.3273
2017-02-25,751.21136
2017-02-26,745.6301
2017-02-27,740.7316
2017-02-28,733.70905
2017-03-01,727.8216
2017-03-02,726.5195
2017-03-03,723.719
2017-03-04,725.32794
2017-03-05,721.3608
2017-03-06,717.9541
2017-03-07,712.294
2017-03-08,707.6359
2017-03-09,707.42896
2017-03-10,705.592
2017-03-11,708.0372
2017-03-12,704.7855
2017-03-13,701.98206
2017-03-14,696.822
2017-03-15,692.571
2017-03-16,692.6891
2017-03-17,691.1057
2017-03-18,693.7439
2017-03-19,690.6352
2017-03-20,687.9348
2017-03-21,682.8477
2017-03-22,678.6487
2017-03-23,678.8064
2017-03-24,677.25885
2017-03-25,679.9372
2017-03-26,676.8809
2017-03-27,674.25305
2017-03-28,669.2666
2017-03-29,665.2047
2017-03-30,665.5446
2017-03-31,664.23334
2017-04-01,667.2117
2017-04-02,664.5287
2017-04-03,662.35803
2017-04-04,657.92334
2017-04-05,654.5185
2017-04-06,655.63153
2017-04-07,655.22
2017-04-08,659.23444
2017-04-09,657.7333
2017-04-10,656.8978
2017-04-11,653.95795
2017-04-12,652.2119
2017-04-13,655.14966
2017-04-14,656.7283
2017-04-15,662.89465
2017-04-16,663.70056
2017-04-17,665.31714
2017-04-18,664.96063
2017-04-19,665.91187
2017-04-20,671.64
2017-04-21,676.07745
2017-04-22,685.14325
2017-04-23,688.8579
2017-04-24,693.3586
2017-04-25,695.8249
2017-04-26,699.4994
2017-04-27,707.81116
2017-04-28,714.65155
2017-04-29,725.8986
2017-04-30,731.5322
2017-05-01,737.6499
2017-05-02,741.39374
2017-05-03,745.97095
2017-05-04,754.779
2017-05-05,761.68146
2017-05-06,772.53326
2017-05-07,777.29626
2017-05-08,782.056
2017-05-09,783.9489
2017-05-10,786.1829
2017-05-11,792.1635
2017-05-12,795.7695
2017-05-13,802.87823
2017-05-14,803.4816
2017-05-15,803.7024
2017-05-16,800.7213
2017-05-17,797.7979
2017-05-18,798.3953
2017-05-19,796.45624
2017-05-20,797.9272
2017-05-21,792.8741
2017-05-22,787.4978
2017-05-23,779.06006
2017-05-24,770.904
2017-05-25,766.57715
2017-05-26,760.1071
2017-05-27,757.52466
2017-05-28,748.9777
2017-05-29,740.7463
2017-05-30,730.1669
2017-05-31,720.65204
2017-06-01,715.81287
2017-06-02,709.7325
2017-06-03,708.4888
2017-06-04,702.2677
2017-06-05,697.3766
2017-06-06,691.16876
2017-06-07,687.0616
2017-06-08,688.6589
2017-06-09,690.02374
2017-06-10,697.2018
2017-06-11,700.3332
2017-06-12,705.6674
2017-06-13,710.487
2017-06-14,718.12714
2017-06-15,732.0975
2017-06-16,746.3573
2017-06-17,766.8385
2017-06-18,783.5595
2017-06-19,802.6412
2017-06-20,821.2323
2017-06-21,842.5301
2017-06-22,869.9047
2017-06-23,897.1759
2017-06-24,930.137
2017-06-25,958.6725
2017-06-26,988.77374
2017-06-27,1017.46796
2017-06-28,1047.8398
2017-06-29,1083.1577
2017-06-30,1117.1515
2017-07-01,1155.5388
2017-07-02,1188.1427
2017-07-03,1220.9095
2017-07-04,1250.8374
2017-07-05,1280.9989
2017-07-06,1314.6677
2017-07-07,1345.5953
2017-07-08,1379.5385
2017-07-09,1406.3743
2017-07-10,1432.1188
2017-07-11,1453.8531
2017-07-12,1474.7454
2017-07-13,1498.1752
2017-07-14,1518.009
2017-07-15,1540.1254
2017-07-16,1554.528
2017-07-17,1567.3616
2017-07-18,1575.8373
2017-07-19,1583.2511
2017-07-20,1593.1067
2017-07-21,1599.3894
2017-07-22,1608.0887
2017-07-23,1609.3104
2017-07-24,1609.2913
2017-07-25,1605.3225
2017-07-26,1600.7678
2017-07-27,1599.1868
2017-07-28,1594.6064
2017-07-29,1593.0454
2017-07-30,1584.6267
2017-07-31,1575.5917
2017-08-01,1563.2256
2017-08-02,1550.8771
2017-08-03,1542.0812
2017-08-04,1530.8353
2017-08-05,1523.1227
2017-08-06,1509.028
2017-08-07,1494.7533
2017-08-08,1477.545
2017-08-09,1460.7156
2017-08-10,1447.7678
2017-08-11,1432.6724
2017-08-12,1421.3926
2017-08-13,1404.0018
2017-08-14,1386.6989
2017-08-15,1366.7365
2017-08-16,1347.4425
2017-08-17,1332.3453
2017-08-18,1315.4492
2017-08-19,1302.7598
2017-08-20,1284.3994
2017-08-21,1266.622
2017-08-22,1246.7396
2017-08-23,1228.1422
2017-08-24,1214.4204
2017-08-25,1199.6403
2017-08-26,1189.8654
2017-08-27,1175.271
2017-08-28,1162.1572
2017-08-29,1147.8733
2017-08-30,1135.8353
2017-08-31,1129.649
2017-09-01,1123.382
2017-09-02,1123.0862
2017-09-03,1118.9108
2017-09-04,1117.1151
2017-09-05,1114.994
2017-09-06,1115.8956
2017-09-07,1123.3453
2017-09-08,1131.3188
2017-09-09,1145.7668
2017-09-10,1156.7291
2017-09-11,1170.3505
2017-09-12,1183.8074
2017-09-13,1200.329
2017-09-14,1223.322
2017-09-15,1246.6484
2017-09-16,1276.1505
2017-09-17,1301.7684
2017-09-18,1329.5571
2017-09-19,1356.615
2017-09-20,1386.1073
2017-09-21,1421.3906
2017-09-22,1456.2921
2017-09-23,1496.6345
2017-09-24,1532.3539
2017-09-25,1569.5156
2017-09-26,1605.2427
2017-09-27,1642.736
2017-09-28,1685.3999
2017-09-29,1727.117
2017-09-30,1773.7716
2017-10-01,1815.365
2017-10-02,1858.0289
2017-10-03,1898.9509
2017-10-04,1941.392
2017-10-05,1988.8087
2017-10-06,2035.1263
2017-10-07,2086.2605
2017-10-08,2132.229
2017-10-09,2179.1648
2017-10-10,2224.239
2017-10-11,2270.6792
2017-10-12,2321.8904
2017-10-13,2371.7283
2017-10-14,2426.0222
2017-10-15,2474.6877
2017-10-16,2523.7415
2017-10-17,2570.2266
2017-10-18,2617.234
2017-10-19,2668.0251
2017-10-20,2716.31
2017-10-21,2767.773
2017-10-22,2812.1887
2017-10-23,2855.4414
2017-10-24,2894.4546
2017-10-25,2932.2126
2017-10-26,2971.8923
2017-10-27,3007.14
2017-10-28,3043.5994
2017-10-29,3071.0342
2017-10-30,3095.3447
2017-10-31,3113.5005
2017-11-01,3128.564
2017-11-02,3143.818
2017-11-03,3153.0466
2017-11-04,3162.0593
2017-11-05,3160.8103
2017-11-06,3155.4163
2017-11-07,3143.0828
2017-11-08,3127.1255
2017-11-09,3111.094
2017-11-10,3089.0469
2017-11-11,3067.0737
2017-11-12,3035.408
2017-11-13,3000.44
2017-11-14,2959.6394
2017-11-15,2916.5718
2017-11-16,2875.018
2017-11-17,2829.2446
2017-11-18,2785.5247
2017-11-19,2734.245
2017-11-20,2681.9185
2017-11-21,2626.1045
2017-11-22,2570.4233
2017-11-23,2518.6768
2017-11-24,2465.1182
2017-11-25,2415.9724
2017-11-26,2361.5476
2017-11-27,2308.248
2017-11-28,2253.4963
2017-11-29,2200.7544
2017-11-30,2153.6433
2017-12-01,2106.2205
2017-12-02,2064.5027
2017-12-03,2018.5831
2017-12-04,1974.6462
2017-12-05,1929.8977
2017-12-06,1887.586
2017-12-07,1851.1298
2017-12-08,1814.3959
2017-12-09,1783.2277
2017-12-10,1747.5626
2017-12-11,1713.4521
2017-12-12,1677.9915
2017-12-13,1644.3431
2017-12-14,1615.8646
2017-12-15,1586.3868
2017-12-16,1561.7413
2017-12-17,1531.8773
2017-12-18,1502.8798
2017-12-19,1471.897
2017-12-20,1442.1619
2017-12-21,1417.1166
2017-12-22,1390.6884
2017-12-23,1368.8132
2017-12-24,1341.55
2017-12-25,1315.0948
2017-12-26,1286.7057
